LAST SEEN   TYPE      REASON                         OBJECT                                              MESSAGE
22m         Warning   KEDAScalerFailed               scaledobject/statepool-worker                       prometheus metrics 'prometheus' target may be lost, the result is empty
4m25s       Normal    KEDAScaleTargetDeactivated     scaledobject/statepool-worker                       Deactivated apps/v1.Deployment statepool-keda/statepool-worker from 1 to 0
22m         Normal    KEDAScalersStarted             scaledobject/statepool-worker                       Started scalers watch
107s        Normal    KEDAScaleTargetDeactivated     scaledobject/statepool-worker                       Deactivated apps/v1.Deployment statepool-keda/statepool-worker from 3 to 0
2m15s       Normal    KEDAScaleTargetActivated       scaledobject/statepool-worker                       Scaled apps/v1.Deployment statepool-keda/statepool-worker from 0 to 1, triggered by s1-prometheus;s0-prometheus
2m57s       Normal    KEDAScalersStarted             scaledobject/statepool-worker                       Scaler prometheus is built
22m         Normal    ScaledObjectReady              scaledobject/statepool-worker                       ScaledObject is ready for scaling
22m         Warning   KEDAScalerFailed               scaledobject/statepool-worker                       Get "http://prometheus.statepool-keda.svc.cluster.local:9090/api/v1/query?query=sum%28statepool_estimated_decode_seconds%29&time=2026-08-26T18:27:22Z": dial tcp 10.96.184.59:9090: connect: connection refused
22m         Normal    KEDAScalersStarted             scaledobject/statepool-worker                       Scaler prometheus is built
22m         Normal    ScaledObjectReady              scaledobject/statepool-worker                       ScaledObject is ready for scaling
22m         Normal    KEDAScalersStarted             scaledobject/statepool-worker                       Scaler prometheus is built
10m         Normal    ScaledObjectReady              scaledobject/statepool-worker                       ScaledObject is ready for scaling
2m59s       Warning   KEDAScalerFailed               scaledobject/statepool-worker                       prometheus metrics 'prometheus' target may be lost, the result is empty
20m         Warning   KEDAScalerFailed               scaledobject/statepool-worker                       prometheus metrics 'prometheus' target may be lost, the result is empty
4m53s       Normal    KEDAScaleTargetActivated       scaledobject/statepool-worker                       Scaled apps/v1.Deployment statepool-keda/statepool-worker from 0 to 1, triggered by s0-prometheus;s1-prometheus
5m5s        Normal    KEDAScalersStarted             scaledobject/statepool-worker                       Scaler prometheus is built
5m7s        Warning   KEDAScalerFailed               scaledobject/statepool-worker                       prometheus metrics 'prometheus' target may be lost, the result is empty
10m         Normal    KEDAScaleTargetActivated       scaledobject/statepool-worker                       Scaled apps/v1.Deployment statepool-keda/statepool-worker from 0 to 1, triggered by s1-prometheus;s0-prometheus
10m         Normal    KEDAScalersStarted             scaledobject/statepool-worker                       Scaler prometheus is built
10m         Warning   KEDAScalerFailed               scaledobject/statepool-worker                       prometheus metrics 'prometheus' target may be lost, the result is empty
20m         Normal    KEDAScalersStarted             scaledobject/statepool-worker                       Scaler prometheus is built
10m         Normal    ScaledObjectReady              scaledobject/statepool-worker                       ScaledObject is ready for scaling
10m         Normal    KEDAScaleTargetDeactivated     scaledobject/statepool-worker                       Deactivated apps/v1.Deployment statepool-keda/statepool-worker from 1 to 0
10m         Normal    KEDAScalersStarted             scaledobject/statepool-worker                       Started scalers watch
10m         Normal    KEDAScalersStarted             scaledobject/statepool-worker                       Scaler prometheus is built
11m         Warning   ScaledObjectDeleted            scaledobject/statepool-worker                       ScaledObject was deleted
11m         Normal    KEDAScalersStopped             scaledobject/statepool-worker                       Stopped scalers watch
15m         Normal    KEDAScaleTargetActivated       scaledobject/statepool-worker                       Scaled apps/v1.Deployment statepool-keda/statepool-worker from 0 to 1, triggered by s0-prometheus;s1-prometheus
22m         Normal    ScalingReplicaSet              deployment/prometheus                               Scaled up replica set prometheus-545d958b75 from 0 to 1
22m         Normal    Started                        pod/prometheus-545d958b75-xkhlg                     Started container prometheus
22m         Normal    SuccessfulCreate               replicaset/prometheus-545d958b75                    Created pod: prometheus-545d958b75-xkhlg
22m         Normal    Scheduled                      pod/statepool-78bf9844d6-hkfll                      Successfully assigned statepool-keda/statepool-78bf9844d6-hkfll to statepool-keda-control-plane
22m         Normal    ScalingReplicaSet              deployment/statepool                                Scaled up replica set statepool-78bf9844d6 from 0 to 1
22m         Normal    Scheduled                      pod/prometheus-545d958b75-xkhlg                     Successfully assigned statepool-keda/prometheus-545d958b75-xkhlg to statepool-keda-control-plane
22m         Normal    Pulled                         pod/prometheus-545d958b75-xkhlg                     Container image "prom/prometheus:v3.11.3" already present on machine
22m         Normal    Created                        pod/prometheus-545d958b75-xkhlg                     Created container: prometheus
22m         Normal    SuccessfulCreate               replicaset/statepool-78bf9844d6                     Created pod: statepool-78bf9844d6-hkfll
21m         Normal    Pulled                         pod/statepool-78bf9844d6-hkfll                      Container image "rwkv-statepool-cloud-plugin:0.3.0-beta.2-dev" already present on machine
21m         Normal    Started                        pod/statepool-78bf9844d6-hkfll                      Started container statepool-plugin
21m         Normal    Created                        pod/statepool-78bf9844d6-hkfll                      Created container: statepool-plugin
