timestamp_utc,elapsed_seconds,plugin_pending,plugin_decode_seconds,prom_pending,prom_decode_seconds,deployment_desired,deployment_current,deployment_ready,deployment_available,pod_count,pod_phases,hpa_current,hpa_desired,scaledobject_ready,scaledobject_active,registered_worker_count
2026-08-26T18:47:31.626540+00:00,0.0,3.0,15.0,0.0,0.0,0,0,0,0,0,,0,0,True,False,0
2026-08-26T18:47:32.701855+00:00,1.075,3.0,15.0,3.0,15.0,0,0,0,0,0,,0,0,True,False,0
2026-08-26T18:47:34.865794+00:00,3.234,3.0,15.0,3.0,15.0,1,0,0,0,1,Pending:1,0,0,True,True,0
2026-08-26T18:47:35.137067+00:00,3.507,3.0,15.0,3.0,15.0,1,1,0,0,1,Pending:1,0,0,True,True,0
2026-08-26T18:47:38.645507+00:00,7.017,3.0,15.0,3.0,15.0,3,3,0,0,3,"Pending:2,Running:1",1,3,True,True,0
2026-08-26T18:47:42.751374+00:00,11.12,3.0,15.0,3.0,15.0,3,3,1,1,3,Running:3,1,3,True,True,0
2026-08-26T18:47:46.013412+00:00,14.38,3.0,15.0,3.0,15.0,3,3,3,3,3,Running:3,1,3,True,True,0
2026-08-26T18:47:53.086060+00:00,21.457,0.0,0.0,3.0,15.0,3,3,3,3,3,Running:3,1,3,True,True,1
2026-08-26T18:47:53.630231+00:00,22.0,0.0,0.0,0.0,0.0,3,3,3,3,3,Running:3,3,3,True,True,1
2026-08-26T18:47:54.989370+00:00,23.36,0.0,0.0,0.0,0.0,3,3,3,3,3,Running:3,3,3,True,False,1
2026-08-26T18:47:56.614878+00:00,24.988,0.0,0.0,0.0,0.0,3,3,3,3,3,Running:3,3,3,True,False,2
2026-08-26T18:47:56.888700+00:00,25.257,0.0,0.0,0.0,0.0,3,3,3,3,3,Running:3,3,3,True,False,3
2026-08-26T18:48:02.879595+00:00,31.248,0.0,0.0,0.0,0.0,0,0,0,0,3,Running:3,3,3,True,False,3
2026-08-26T18:48:08.606082+00:00,36.975,0.0,0.0,0.0,0.0,0,0,0,0,3,Running:3,0,0,True,False,3
2026-08-26T18:48:33.888949+00:00,62.26,0.0,0.0,0.0,0.0,0,0,0,0,0,,0,0,True,False,3
