timestamp,memory_used_mib,utilization_gpu_percent,temperature_c,power_w
2026/08/08 12:34:55.725, 9198, 0, 33, 4.75
2026/08/08 12:34:56.749, 9198, 49, 39, 42.09
2026/08/08 12:34:57.769, 9198, 48, 39, 77.25
2026/08/08 12:34:58.791, 9198, 48, 40, 77.64
2026/08/08 12:34:59.814, 9198, 48, 40, 78.40
2026/08/08 12:35:00.837, 9198, 48, 40, 77.75
2026/08/08 12:35:01.861, 9198, 48, 40, 84.88
2026/08/08 12:35:02.885, 9198, 47, 40, 94.21
2026/08/08 12:35:03.908, 9198, 48, 40, 76.64
2026/08/08 12:35:04.927, 9198, 68, 42, 104.02
2026/08/08 12:35:05.948, 9198, 49, 41, 79.28
2026/08/08 12:35:06.969, 9198, 48, 41, 77.11
2026/08/08 12:35:07.992, 9198, 68, 43, 102.09
2026/08/08 12:35:09.015, 9198, 49, 41, 78.88
2026/08/08 12:35:10.036, 9198, 49, 41, 77.07
2026/08/08 12:35:11.060, 9198, 51, 42, 81.68
2026/08/08 12:35:12.084, 9198, 68, 44, 119.02
2026/08/08 12:35:13.108, 9198, 69, 44, 118.76
2026/08/08 12:35:14.131, 9198, 68, 44, 118.51
2026/08/08 12:35:15.153, 9198, 68, 44, 118.63
2026/08/08 12:35:16.176, 9198, 48, 42, 105.21
2026/08/08 12:35:17.199, 9198, 48, 42, 77.50
2026/08/08 12:35:18.223, 9198, 48, 42, 87.45
2026/08/08 12:35:19.247, 9198, 48, 42, 90.01
2026/08/08 12:35:20.272, 9198, 48, 42, 84.40
2026/08/08 12:35:21.296, 9198, 48, 42, 76.91
2026/08/08 12:35:22.319, 9198, 48, 42, 77.05
2026/08/08 12:35:23.342, 9198, 48, 42, 77.44
2026/08/08 12:35:24.364, 9198, 48, 42, 76.84
2026/08/08 12:35:25.384, 9198, 48, 42, 85.41
2026/08/08 12:35:26.409, 9198, 48, 43, 91.29
2026/08/08 12:35:27.432, 9198, 48, 43, 77.39
2026/08/08 12:35:28.453, 9198, 67, 45, 99.52
2026/08/08 12:35:29.476, 9198, 48, 43, 77.05
2026/08/08 12:35:30.498, 9198, 48, 43, 76.96
2026/08/08 12:35:31.522, 9198, 67, 45, 99.87
2026/08/08 12:35:32.544, 9198, 48, 43, 81.00
2026/08/08 12:35:33.567, 9198, 48, 43, 77.22
2026/08/08 12:35:34.591, 9198, 55, 44, 79.01
2026/08/08 12:35:35.617, 9198, 48, 44, 100.06
2026/08/08 12:35:36.641, 9198, 48, 44, 77.49
2026/08/08 12:35:37.663, 9198, 48, 43, 77.44
2026/08/08 12:35:38.686, 9198, 52, 44, 83.60
2026/08/08 12:35:39.711, 9198, 69, 46, 120.07
2026/08/08 12:35:40.735, 9198, 68, 47, 119.77
2026/08/08 12:35:41.760, 9198, 68, 47, 119.69
2026/08/08 12:35:42.783, 9198, 68, 47, 119.32
2026/08/08 12:35:43.804, 9198, 68, 47, 119.67
2026/08/08 12:35:44.826, 9198, 68, 47, 118.91
2026/08/08 12:35:45.851, 9198, 68, 47, 119.53
2026/08/08 12:35:46.873, 9198, 68, 47, 119.80
2026/08/08 12:35:47.897, 9198, 68, 48, 119.76
2026/08/08 12:35:48.922, 9198, 69, 48, 120.42
2026/08/08 12:35:49.946, 9198, 68, 48, 120.49
2026/08/08 12:35:50.970, 9198, 68, 48, 120.09
2026/08/08 12:35:51.993, 9198, 48, 46, 114.99
2026/08/08 12:35:53.014, 9198, 48, 45, 78.11
2026/08/08 12:35:54.036, 9198, 48, 45, 78.00
2026/08/08 12:35:55.060, 9198, 49, 45, 78.63
2026/08/08 12:35:56.085, 9198, 68, 48, 115.66
2026/08/08 12:35:57.110, 9198, 68, 48, 120.74
2026/08/08 12:35:58.135, 9198, 68, 48, 120.91
2026/08/08 12:35:59.157, 9198, 68, 48, 120.32
2026/08/08 12:36:00.182, 9198, 68, 48, 120.21
2026/08/08 12:36:01.207, 9198, 68, 48, 120.18
2026/08/08 12:36:02.232, 9198, 66, 48, 119.88
2026/08/08 12:36:03.256, 9198, 68, 48, 119.77
2026/08/08 12:36:04.280, 9198, 68, 48, 119.46
2026/08/08 12:36:05.305, 9198, 68, 48, 119.50
2026/08/08 12:36:06.331, 9198, 68, 48, 119.50
2026/08/08 12:36:07.356, 9198, 68, 48, 119.75
